Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A5_1_22639.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A11_1_22645.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B5_1_22651.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B11_1_22657.d
P40123				22426.1	20921.1	15960.5	17081.2
P40222				82450.4	89978.9	85204.1	88433.8
P40227				1.14823e+06	1.22233e+06	1.20098e+06	1.21791e+06
P40261				84293.6	99339.7	92855.1	100014
P40337				23634.2	27074.4	21425.6	22079.3
P40424				25037.9	27800.9	23121.3	22803.8
P40425				11592.7	13252.7	16535.3	11446.8
P40429				598686	643058	568985	615329
P40616				103062	117645	111373	116006
P40692				38810.5	39449.9	37441.8	39435.3
P40763				120251	124310	128274	124413
P40818				54509.9	62824.2	62251.1	59633.2
P40855				37721.3	39337	36248.6	40647.7
P40925				644888	726016	707341	726411
P40926				1.028e+06	1.01188e+06	1.00955e+06	1.02961e+06
P40937				180740	184127	174856	184227
P40938				372683	373030	387752	389360
P40939				347153	340062	331997	327374
P41091				613249	658405	655064	662208
P41134				19133.1	21404.5	21200.9	23623.6
P41162					2134.36	1242.22	
P41208				53557.5	48050.2	45318.2	45983.9
P41214				113954	120395	114537	114906
P41223				242402	250966	206850	174465
P41227				108351	115418	116250	116286
P41229				49931	41521.3	42690.3	28434.1
P41236				109368	104622	103939	98384.5
P41240				99886.4	87923	82642.7	82185.4
P41247				6904.06	7289.19	5710.92	6556.54
P41250				355151	381647	364259	372429
P41252				417861	419873	421361	424834
P41273				1876.28	1411.55	2643.15	2906.83
P41440				12730.9	17028.2	13893.8	16613.7
P41567				523348	496138	524717	471708
P41743				60827.6	57916.3	57510.1	57190.3
P42025				14870.2	19715.1	17098.7	20293.2
P42126				261144	271093	258789	268913
P42166				578575	577402	598410	573124
P42167				273299	288404	279638	279640
P42224				114939	128542	114063	136307
P42226				49884.1	46715.5	45002.9	43156.4
P42229				101875	103705	105904	108316
P42285				187570	196034	187359	192204
P42330				118620	129948	134488	136218
P42336				15572.1	18130.4	15329.3	18971.9
P42338				5557.41	7766.69	5848.51	5774.59
P42345				66993.8	63590.6	64372.5	64307.5
P42356				25703.1	14647.2	15402.9	14450.9
P42566				32773.2	36877	33971.3	35394.7
P42574				25178.4	21900.3	16687.9	19947.5
P42575				47110.7	38779.7	48715.5	36504.6
P42677				965010	990631	1.04116e+06	1.08299e+06
P42684				9751.43	10046.7	9096.83	10062.1
P42694				14394.6	15660	16788.9	18266.3
P42695				45463.9	43096.2	42006.4	40797.6
P42696				56464.3	57228.1	62957.5	65799.9
P42702				25030.8	22098.4	24560.6	20874.4
P42704				791538	740785	645427	699260
P42765				233805	247566	231500	238376
P42766				749943	753389	719129	738529
P42771				608508	610151	623506	601026
P42785				58818.2	59273.5	53545.6	53492
P42858				56124.5	60480.4	55237.7	58360.4
P42892				48982.9	45457.8	47620.3	46885.8
P42898				8629.08	11066.2	6302.26	9068.74
P43003				20905	21067.3	17378.8	20090
P43007				5683.31	11165.1	14647.6	14156.4
P43034				192106	186274	184167	183914
P43121				288390	301460	298407	296522
P43243				694202	624130	603692	633638
P43246				149951	161092	152416	156510
P43251				9022.17	9170.73	13129.5	5786.35
P43304				78807	84620.9	83462.4	84121.1
P43307				200894	218239	194110	192935
P43353				26038.6	19750	27687.5	20147.9
P43355				97985.4	95906.8	92435.8	97616.4
P43357				30542.3	29723.7	30299.7	27792.3
P43360				13206	13604	17634	18933.3
P43365				15699	15082.5	15965.9	19237.8
P43378				8044.97	11217.1	6391.73	7730.71
P43487				528730	534616	542595	535543
P43490				453987	342422	413316	421796
P43686				152188	154391	158863	167353
P43897				212833	215393	213064	221770
P45877				17865.3	15822.5	16899.9	16203.6
P45880				751121	764794	750775	750263
P45954				8115.49	7730.64	5337.5	9015.18
P45973				276468	266675	264880	251851
P45974				243835	255857	253798	256512
P45983				37669.5	30055.3	32536	26713
P45984				28180.7	21938	20633.5	22344.2
P45985				43573.1	40777.7	37102.3	36084.7
P46013				199125	200651	198195	195889
P46019				18058.1	19212.3	18772.8	20496.5
P46020				8484.45	8039.28	9913.45	7727.3
P46060				252073	227578	211278	207292
P46063				112225	116315	117304	108248
P46087				275900	274618	271670	274848
P46100				28937.1	26300	25142.4	25066.6
P46108				48394.2	52610.3	56868.9	55619.7
P46109				115163	136983	103580	117680
P46199				29511.4	26976.5	32498.9	61027.9
P46379				202771	195892	201401	200009
P46459				133443	142306	134794	139745
P46531				14095.2	18034.7	20743.1	15583.9
P46734				100474	94643.2	93977.5	96598.5
P46736				62559.1	61996.2	63213.5	61073.8
P46776				1.52134e+06	1.62784e+06	1.61574e+06	1.68619e+06
P46777				683147	701810	725855	734512
P46778				1.02778e+06	1.03262e+06	1.15302e+06	1.19869e+06
P46779				583331	579154	530618	534875
P46781				1.43804e+06	1.42681e+06	1.21439e+06	1.34938e+06
P46782				1.18448e+06	1.26458e+06	1.22261e+06	1.16165e+06
P46783				771436	786834	752189	750562
P46926				241393	259782	251347	256134
P46934				28569.4	30807.1	32387	32722.1
P46937				35146.2	36654.6	34892.1	33243
P46939				16525.7	15872.3	15504.5	15972.3
P46940				402619	407441	404115	402706
P46976				255325	272849	249115	263831
P46977				170865	181785	172545	178997
P47224				99922.7	102770	106773	106151
P47712				926224	952757	901898	915244
P47736				12793.9	13175.4	14828.9	16990.7
P47755				131471	117935	116314	115250
P47756				563918	595504	563823	556531
P47813				301652	326075	274865	252365
P47897				436625	466674	460478	463917
P47914				240090	231580	233416	205101
P47974				17445.1	11590.8	14958.7	14295.6
P47985				376157	378383	396184	379699
P48029				4784.29	6659.88	4852.19	4436.44
P48047				472379	482150	464517	473193
P48059				49595.3	47523.8	47147.4	47602.6
P48067				8343.46	8483.73	8836.15	7515.35
P48147				237412	253528	252641	243317
P48163				161141	171962	180287	178214
P48200				59966.3	64959.3	65917.5	68299.4
P48382				137638	119028	22412.9	146181
P48426				8021.83	7537.55	6115.29	6111.19
P48444				388817	428777	352546	349576
P48449				56018.4	59532	52296.7	47417.4
P48454				16575.5			
P48506				106641	114920	111076	112793
P48507				264340	271804	271268	274641
P48553				12509.5	9818.67	7823.89	7742.96
P48556				80925.7	90251	82202.7	80463.1
P48634				32003.5	30785	30815.7	32723.5
P48637				98192.8	106819	106945	112710
P48643				652257	680843	675440	699008
P48651				112055	108213	114016	116353
P48681				59199.3	36499.9	45829.7	59643.7
P48723				42142.2	36636	39347.4	36837.9
P48729				85769.2	85368.2	82929.3	89421.6
P48730				9314.5	11123.9	13869.2	11313.5
P48735				31395.5	30421	28725.2	28370.9
P48739				84095.5	87068.3	83281.9	84551.4
P48745				7002.58	5649.98	6482.61	7010.11
P48960				69824.3	79655.8	77347.7	66436.3
P49005				60631.9	61066.8	61319.7	57890.8
P49023				40143.8	39684.4	37815.3	36876.3
P49069				13893.6	13181.2	12722.5	13804.7
P49116				7594.02	8420.36	12531.2	9708.13
P49137				27827.1	33196.2	32038.7	34231.4
P49189				419333	414326	409823	420675
P49207				321476	385725	319039	324054
P49247				42711.4	38139.4	35874.7	39276.3
P49257				147283	147913	138376	137378
P49281				18142.1	20130.4	21256.3	22852.6
P49321				315246	325331	299108	325744
P49327				876230	899450	903834	908486
P49336				9978.85	9282.94	8100.07	10126.3
P49354				73082.8	81904.4	83857.5	79334.1
P49356				17022.3	16161.9	16245.2	14076.5
P49366				28303.6	31331.1	30297	29223
P49368				971430	1.0204e+06	1.00979e+06	1.01165e+06
P49406				72440.1	81123.7	89383.5	85637.4
P49407				16115	16423.7	18420	16282.7
P49411				1.11919e+06	1.15279e+06	1.10279e+06	1.1067e+06
P49419				120738	118209	111246	113460
P49427				33382.7	34823.6	38015.1	39547.4
P49441				42537.3	34581.7	28608.1	32758.4
P49454				52028.8	50208.6	51047.1	48783.3
P49458				429801	433351	413175	384473
P49459				111492	127376	132722	141341
P49585				83491.3	86187.7	91666.3	92441.3
P49588				413648	415512	407106	406448
P49589				114615	113824	120242	116389
P49590				65333.4	59776.9	49856.4	66805.3
P49591				175463	188825	185470	191399
P49593				22197.7	17317.3	25081.4	22500.7
P49642				51633.8	55135.8	53143.6	57189.7
P49643				83854.2	77224.9	78656.5	81772
P49662				13947.5	10638.2	13555.6	10669.9
P49674				27909.1	30351.7	29006.7	28858.4
P49711				37985.8	35028.8	41745.8	43585.6
P49716				42941.1	45209	35644.2	42039.6
P49720				358080	376545	400295	405404
P49721				450083	510068	487096	490879
P49736				410357	431472	434790	442136
P49748				228675	238662	232008	227469
P49750				33995.7	32691.8	32849.9	32179.4
P49753				30430.1	32390.4	34784.8	35292.2
P49754				12693.5	12505	10918.8	11490.4
P49755				357246	369665	352956	360427
P49756				147870	190909	170556	193088
P49757				12376.6	15282.9	13678.8	12562.9
P49760				13146.5	16812	12981.4	12432.2
P49761				21951.5	22852.3	17827.3	21325.7
P49768				48514.9	49219.4	48919.4	57313.6
P49770				92081.4	85085.5	86699.5	83528.6
P49773				597763	544403	534498	539779
P49790				51078.2	51016.5	53119.5	49398
P49792				137527	127340	122415	120924
P49810				5917.09	5048.51	5983.1	6796.41
P49815				15593.3	15729.7	15578.1	17357.7
P49821				111507	111092	115032	113588
P49840				28032.3	30371.1	29163.7	31472.4
P49841				45775.9	45856.3	44561.7	43876
P49842				5071.89	4153.1	4185.04	4846.82
